# Originator: me
# Number of profiles: 36
# Creation time: Fri Oct 11 09:49:55 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1369009279.29544783    46.05480194    13.99260044   144.75999832     0.33990191    -0.00125481     0.23929257              1
1369009281.30358887    46.04939938    13.98869991   144.58999634     0.40720637    -0.00046285     0.21598899              1
1369009283.29556990    46.06389999    13.99639988   144.39000130     0.49677056     0.00121124     0.17999321              1
1369009285.30578613    46.08409882    14.01860046   144.14999962     0.55253465     0.00011390     0.17513298              1
1369009287.29749250    46.09109879    14.02700043   143.85999680     0.59412203    -0.00238135     0.18526345              1
1369009289.31301880    46.09429836    14.02980042   143.54000092     0.60023394    -0.00303226     0.19632354              1
1369009291.32177734    46.09539986    14.03110027   143.21000099     0.57794777    -0.00220685     0.20812937              1
1369009293.39758301    46.09570026    14.03139973   142.86999702     0.56156537    -0.00292172     0.22529262              1
1369009295.30471802    46.09610081    14.03170013   142.55999565     0.55537020    -0.00478027     0.24197949              1
1369009297.29761457    46.09710217    14.03250027   142.23999977     0.54988331    -0.00680513     0.26074171              1
1369009299.30258894    46.09869957    14.03369999   141.92999840     0.56730993    -0.00514546     0.25132377              1
1369009301.30023909    46.10050201    14.03540039   141.59000397     0.58419347    -0.00353750     0.24219933              1
1369009303.30770874    46.10400200    14.03839970   141.23999596     0.58468533    -0.00428947     0.23099242              1
