# Originator: Lucas Merckelbach
# Dataset: German Bight filtered T and C
# Number of profiles: 36
# Creation time: Wed Oct 23 15:44:58 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1376311105.63532209    40.14665997    14.11353118    20.95999956     0.37632881    -0.02898747     0.38159124              1
1376311107.63462019    40.14917961    14.11742920    20.61000109     0.37757593    -0.03024630     0.36067742              1
1376311109.63961792    40.15336960    14.12457828    20.32000065     0.37840993    -0.02857828     0.33008176              1
1376311111.70847273    40.15753093    14.13155925    20.00000000     0.37593527    -0.02652468     0.34383339              1
1376311113.64530134    40.16117101    14.13830312    19.65999961     0.37125223    -0.02418317     0.38684831              1
1376311115.64337873    40.16371969    14.14218282    19.34999943     0.37213164    -0.02172249     0.39613760              1
1376311117.68845320    40.16582992    14.14451821    19.06000018     0.38176479    -0.01931420     0.35091549              1
1376311119.70246077    40.17335361    14.15707825    18.73999953     0.38791735    -0.01800662     0.32246825              1
1376311121.63849592    40.18412013    14.17638193    18.40999961     0.38361497    -0.01985049     0.34411676              1
1376311123.64361572    40.19450966    14.19243315    18.09000015     0.37799174    -0.02226044     0.37241140              1
1376311125.64438581    40.20391798    14.20536065    17.77999997     0.37365059    -0.02402549     0.33827400              1
1376311127.64127302    40.21643380    14.22113427    17.46999979     0.36962842    -0.02563436     0.29110855              1
1376311129.63929629    40.24447164    14.25102458    17.13000059     0.39628745    -0.02353626     0.30065623              1
1376311131.63711548    40.38832187    14.41060209    16.79000020     0.43885940    -0.01952004     0.33945892              1
1376311133.63739729    40.73714569    14.80292817    16.41000032     0.48102188    -0.01862185     0.36307893              1
1376311135.63931990    41.32433650    15.44522136    15.95000029     0.52377480    -0.02108836     0.37078768              1
1376311137.64051008    42.04785220    16.29450861    15.42999983     0.53823797    -0.02296043     0.38256449              1
1376311139.63677979    42.69757291    17.03611393    14.88999963     0.49882214    -0.02376483     0.40265904              1
1376311141.63559675    43.11501293    17.44463462    14.42999959     0.46411216    -0.02411948     0.41655992              1
1376311143.64474487    43.31224783    17.64699334    14.01000023     0.45446498    -0.02251162     0.40211705              1
1376311145.63992310    43.40984619    17.75410104    13.66999984     0.44529655    -0.02107188     0.38680554              1
1376311147.64044905    43.46773284    17.82567081    13.30999970     0.45573221    -0.02669109     0.33279205              1
1376311149.63654280    43.52006013    17.90439738    12.92999983     0.46615823    -0.03230511     0.27882840              1
1376311151.67410994    43.56024010    17.96259219    12.58000016     0.49375071    -0.03526957     0.30078820              1
1376311153.63693237    43.59497726    17.99914297    12.23000050     0.51639261    -0.03710539     0.32707585              1
1376311155.64243269    43.61616930    18.01834897    11.77999973     0.52821853    -0.04362422     0.32276388              1
1376311157.64285278    43.62916038    18.02624068    11.39000058     0.51918135    -0.05512606     0.27257026              1
1376311159.64559937    43.65615310    18.05253855    11.03000045     0.49894625    -0.06257863     0.27908192              1
1376311161.64328718    43.68135600    18.08099006    10.59000015     0.45410806    -0.06177795     0.40600083              1
1376311163.64080811    43.69142578    18.08977524    10.14999986     0.41961550    -0.05897296     0.50526323              1
1376311165.63998413    43.69158965    18.08401452     9.82999980     0.44369898    -0.04693121     0.44636656              1
1376311167.64608765    43.69137841    18.07919113     9.44999993     0.46833662    -0.03499949     0.38578764              1
1376311169.64492798    43.69546209    18.08202521     9.02999997     0.48358080    -0.03740646     0.34003396              1
1376311171.63541365    43.70245117    18.08571670     8.65000010     0.49884714    -0.03981694     0.29421380              1
1376311173.71359968    43.71490554    18.09954351     8.23000014     0.48672670    -0.03163289     0.30991226              1
1376311175.64361572    43.72134929    18.10718679     7.85000026     0.47475834    -0.02445188     0.32838313              1
1376311177.65241194    43.72259654    18.10403283     7.49000013     0.46671673    -0.01670027     0.34078578              1
1376311179.64761353    43.72871739    18.10839426     7.09999979     0.46836981    -0.01091447     0.33821593              1
1376311181.63642073    43.73207418    18.11004539     6.74000025     0.46267742    -0.01160656     0.33412151              1
1376311183.64291382    43.73275134    18.10916327     6.37000024     0.44019596    -0.02686184     0.32637899              1
